,0
192,1491.259746884019
193,1490.1916504116346
194,1491.7251701772705
195,1497.8685293641029
196,1500.2092385743015
197,1500.795269834871
198,1499.39336828477
199,1501.1255586464924
200,1500.3825471011119
201,1500.6734656638066
202,1500.819235338268
203,1499.2531304620964
204,1498.7495468217767
205,1497.9902787919734
206,1496.8073457863302
207,1495.6602387251605
208,1497.8679567332008
209,1496.611227669528
210,1498.81397624992
211,1502.5063068120648
212,1505.0405885544296
213,1506.0464336142722
214,1504.9556031014029
215,1506.0361904837864
216,1507.288126550009
217,1506.6837414323772
218,1504.2863499289965
219,1505.14952248172
220,1500.6241342113956
221,1498.6608105691762
222,1498.6508406641694
223,1499.4575692948406
224,1501.8507263627562
225,1504.3503845092016
226,1506.8943575761912
227,1504.4421195879509
228,1504.214387892717
229,1506.1906220509659
230,1509.130057453148
231,1507.9127873203581
232,1506.3440090954352
233,1508.1299957196609
234,1509.0771124263945
235,1507.823524696
236,1507.5849459373474
237,1510.8898798722014
238,1511.53594147676
239,1513.5590912245018
240,1515.1398865031315
241,1517.5272754963198
242,1518.2936550121829
243,1519.6433620643618
244,1519.8248427693948
245,1519.442090117236
246,1521.1017985931787
247,1522.072163134386
248,1520.4326958040435
249,1522.022900159934
250,1521.312762352684
251,1521.4177717666169
252,1521.2496840894228
253,1519.636298861877
254,1516.1764757954886
255,1513.9301882103305
256,1516.156592505325
257,1515.9818354782274
258,1518.6384928116086
259,1517.2078671411516
260,1517.9502731335185
261,1519.1445770490861
262,1520.1691275487606
263,1520.4300745522542
264,1523.4633068074386
265,1524.7515082492655
266,1527.740278378014
267,1531.1451035500781
268,1534.7334254419088
269,1535.8804117366772
270,1536.9765142750678
271,1540.8168850985091
272,1541.4019522604874
273,1541.938345686033
274,1545.1355919733755
275,1547.4494712288338
276,1550.423402162358
277,1554.9466241664575
278,1557.1383650234436
279,1559.6902970885828
280,1564.1194219181555
281,1565.8041558086493
282,1568.6874726664985
283,1569.1392655031887
284,1572.7677425868449
285,1576.2472793733828
286,1577.9554803466779
287,1579.3354312620445
288,1582.7445989942996
289,1581.4587835598577
290,1583.2154965976981
291,1587.6117886699958
292,1588.348101409346
293,1592.2327396182147
294,1593.7305707849462
295,1597.5749196627817
296,1598.0421039372598
297,1601.8600724534779
298,1605.6161041638732
299,1606.3979224204297
300,1604.0252889481887
301,1606.2766106952013
302,1608.8952826417385
303,1610.0299469640088
304,1613.2013150570633
305,1614.537710561739
306,1613.9120019303773
307,1613.2336784339395
308,1614.830140040221
309,1614.1122182781673
310,1615.1151758941617
311,1614.4412610382312
312,1611.7625963113628
313,1609.9844725636071
314,1606.6849908625948
315,1607.3507171793829
316,1604.1273057699057
317,1595.7718574465737
318,1597.0079124856836
319,1597.3556131439739
320,1596.2804984038567
321,1597.071126489902
322,1599.4186062783294
323,1597.9336643349118
324,1599.4061766284988
325,1600.6667032081618
326,1601.7524815391223
327,1601.5925850996541
328,1602.9128081558413
329,1602.402244069994
330,1602.3230877109108
331,1600.119635927277
332,1599.1105435216177
333,1599.5995479475098
334,1599.0401749904715
335,1597.7919642317686
336,1596.776038385395
337,1597.675216777028
338,1596.2057859078232
339,1594.487516267507
340,1592.759397292108
341,1590.6027332526646
342,1589.8908441174915
343,1590.3208598331883
344,1589.2195003580255
345,1588.7100842344682
346,1588.4920956399044
347,1589.1616614345928
348,1587.9951480399964
349,1587.8599221354903
350,1589.0266370106342
351,1589.2439053343196
352,1586.9404689066787
353,1590.1940639512618
354,1590.4120774454514
355,1591.1666526427705
356,1589.2387751108326
357,1588.832303017386
358,1590.7665195256411
359,1590.3201988615065
360,1589.3327021053583
361,1590.267115364301
362,1590.696410870601
363,1592.03952752159
364,1594.9974288969852
365,1594.5434569717547
366,1594.645618132751
367,1592.8766461569155
368,1590.4034150938933
369,1590.1713841496062
370,1589.4239341750458
371,1588.7898618316096
372,1588.1636227333834
373,1586.9383281077387
374,1586.653832802936
375,1587.0865453399965
376,1585.53286459435
377,1585.691811910112
378,1585.884565445492
379,1584.7942061604356
380,1583.8618208931557
381,1586.4727342274532
382,1586.3940641572117
383,1587.5245375141303
384,1587.6281096175173
385,1588.1614896643773
386,1586.643899981195
387,1585.009324070354
388,1582.053127794201
389,1581.6968230878385
390,1579.7708880814598
391,1578.0141615448495
392,1579.62507281392
393,1580.5849444624712
394,1580.5582576063573
395,1576.3397837929
396,1576.6384954318485
397,1576.3465343262556
398,1577.0976246005423
399,1578.097734466549
400,1577.2157886878938
401,1576.5241082480222
402,1576.531130760112
403,1576.5932798540575
404,1577.2057564093889
405,1577.9716938858076
406,1579.3253709224894
407,1578.9743384902524
408,1579.2694196814825
409,1579.9082746431666
410,1581.2967591043832
411,1582.1124617206472
412,1584.072516281039
