,0
288,6.1309009439388085
289,6.114845448957085
290,6.099816685957855
291,6.082557796250983
292,6.066867731720006
293,6.067210086714665
294,6.066105534381864
295,6.070931732529766
296,6.069296671435448
297,6.070456016780914
298,6.066452057798482
299,6.054732547960021
300,6.053260350246895
301,6.0449838076328115
302,6.037515420566783
303,6.0290943758993985
304,6.02512334675257
305,6.013255998121156
306,6.015519939257483
307,6.016770460922028
308,6.000201531169381
309,5.995594134648328
310,5.98978292363718
311,5.9903165120067055
312,5.98463908675638
313,5.981644931906048
314,5.964579152751728
315,5.9603423736906676
316,5.945325718265913
317,5.924957015708112
318,5.938294229931139
319,5.951139703924573
320,5.9561965333371445
321,5.951957241332722
322,5.946462422004802
323,5.946234166859994
324,5.9565126172753144
325,5.956705467531958
326,5.958403109158911
327,5.962480271924449
328,5.968102181773587
329,5.970209588921842
330,5.982995266324732
331,5.979129251979361
332,5.987553144859987
333,5.980722064495599
334,5.97389907275664
335,5.9752931655957
336,5.973463831927718
337,5.973341693753317
338,5.968502851985054
339,5.963928881137196
340,5.971714967183275
341,5.973687797517739
342,5.978084396232185
343,5.977107248040502
344,5.976720254557286
345,5.973591642175298
346,5.976061113094821
347,5.979904587168037
348,5.982135692472849
349,5.980229980387596
350,5.980630761803854
351,5.980665242797842
352,5.974647043383061
353,5.973349923136862
354,5.977077524326016
355,5.980168296145593
356,5.977222093798835
357,5.985452937786207
358,5.987460515609754
359,5.984363104863157
360,5.984433967757811
361,5.991163427650445
362,6.002831947059378
363,6.009229282436043
364,6.014573951626522
365,6.016711076687034
366,6.025402012559039
367,6.02248790801528
368,6.024367574928499
369,6.025952645157456
370,6.020034534524823
371,6.025553475261692
372,6.030851719599452
373,6.029899159031789
374,6.028728754453903
375,6.0373211154587265
376,6.033878083983268
377,6.037157243087841
378,6.0418334793705295
379,6.0338253980708245
380,6.03063928430947
381,6.024950729533187
382,6.022853581684675
383,6.021573701342596
384,6.021025942023671
385,6.022036873211089
386,6.0223312780227065
387,6.017399079273358
388,6.01232555911705
389,6.005914899473849
390,5.998747712491219
391,5.9937599754931865
392,5.993401679192937
393,5.995698132019322
394,5.99350616422672
395,5.98506610727396
396,5.992652487144237
397,5.996532085666583
398,6.004432657717185
399,6.004029095987683
400,6.0061129959880475
401,6.006871096245061
402,6.009081459296039
403,6.015364904347075
404,6.007044132733704
405,6.003350810220638
406,6.003178565221804
407,6.005216837932379
408,6.016429061627558
409,6.02637970027593
410,6.036853926949131
411,6.0525158493733215
412,6.063777985153375
413,6.070159711843933
414,6.076131615902594
415,6.083724564025548
416,6.09661211752772
417,6.100140083992162
418,6.105920231619935
419,6.114416971850542
420,6.125583335699406
421,6.129971756460871
422,6.135743708774339
423,6.145991669629001
424,6.15458672110192
425,6.161443410468411
426,6.165086372910626
427,6.171941287303483
428,6.176627430910436
429,6.183529958165186
430,6.197372756768747
431,6.2013984044887644
432,6.199389991358473
433,6.1950620386363875
434,6.196577157730346
435,6.1991166532303
436,6.2085910211336275
437,6.2162619368969105
438,6.212447157107569
439,6.21135558453303
440,6.206385566984571
441,6.205338270091213
442,6.207386675223785
443,6.2080253790826925
444,6.20617279810945
445,6.208009797459536
446,6.210125251269625
447,6.213628479034949
448,6.211044120685917
449,6.211343297137824
450,6.207410946420938
451,6.195414762711545
452,6.185801329065357
453,6.1801662392847705
454,6.180858704996995
455,6.185482618543741
456,6.187413135267256
457,6.185524022497714
458,6.185497808696036
459,6.1937789925971956
460,6.189859922660951
461,6.188196448757776
462,6.192468009977975
463,6.191337628300634
464,6.189118032126336
465,6.182138846570888
466,6.183800927969101
467,6.183951396698628
468,6.185729173605426
469,6.1866504095213655
470,6.182795265688456
471,6.187054912740003
472,6.181077412188961
473,6.182281666964943
474,6.176219946220847
475,6.178476394575245
476,6.1718090050063115
477,6.171443673482725
478,6.178332709047034
479,6.183212834737703
480,6.185435703087775
481,6.181305492282677
482,6.177323819699262
483,6.1790648348239126
484,6.1778626727887325
485,6.1728824272076395
486,6.171033444888335
487,6.169496318045938
488,6.164939262068672
